sid,indent,validity_start_date
94121,6,2012-01-01
94121,7,2013-01-01
94122,5,2012-01-01
94122,6,2013-01-01
94123,6,2012-01-01
94123,7,2013-01-01
94124,7,2012-01-01
94124,8,2013-01-01
94125,7,2012-01-01
94125,8,2013-01-01
94126,6,2012-01-01
94126,7,2013-01-01
94127,7,2012-01-01
94127,8,2013-01-01
94128,7,2012-01-01
94128,8,2013-01-01
94129,3,2012-01-01
94130,3,2012-01-01
94131,2,2012-01-01
94132,3,2012-01-01
94133,3,2012-01-01
94185,2,2012-01-01
94186,2,2012-01-01
94187,2,2012-01-01
94188,2,2012-01-01
94189,2,2012-01-01
94190,3,2012-01-01
94191,3,2012-01-01
94192,2,2012-01-01
94193,3,2012-01-01
94194,1,2012-01-01
94195,2,2012-01-01
94196,2,2012-01-01
96165,4,2012-01-01
96166,4,2012-01-01
96167,4,2012-01-01
96168,4,2012-01-01
96756,3,2013-01-01
96757,3,2013-01-01
105933,2,2021-01-01
105934,3,2021-01-01
105935,3,2021-01-01
105936,2,2021-01-01
